texture,var_name,scenario_name,runtime_s,runtime_min,runtime_outlier_flag
Clay Loam,n,Clay Loam_n_-0.05,3261.5942871570587,54.35990478595098,False
Clay Loam,n,Clay Loam_n_+0.05,1787.9499015808103,29.799165026346838,False
Clay Loam,n,Clay Loam_n_+0.10,10269.10254573822,171.15170909563702,False
Clay Loam,n,Clay Loam_n_+0.15,3844.1882090568542,64.06980348428091,False
Clay Loam,fw_threshold,Clay Loam_fw_0.40,6329.104349851608,105.4850724975268,True
Clay Loam,fw_threshold,Clay Loam_fw_0.45,2590.762413263321,43.17937355438868,False
Clay Loam,fw_threshold,Clay Loam_fw_0.50,2527.717692375183,42.128628206253055,False
Clay Loam,fw_threshold,Clay Loam_fw_0.55,2525.148741722107,42.085812362035114,False
Clay Loam,fw_threshold,Clay Loam_fw_0.60,2474.76566362381,41.24609439373016,False
Clay Loam,emitter_radius_cm,Clay Loam_re_-0.30,3266.350378036499,54.439172967274985,False
Clay Loam,emitter_radius_cm,Clay Loam_re_-0.20,7558.837018251419,125.98061697085699,False
Clay Loam,emitter_radius_cm,Clay Loam_re_-0.10,7617.041375160217,126.95068958600362,False
Clay Loam,emitter_radius_cm,Clay Loam_re_+0.10,15716.4793074131,261.9413217902183,True
Clay Loam,emitter_radius_cm,Clay Loam_re_+0.20,5038.520236492157,83.97533727486929,False
Clay Loam,emitter_radius_cm,Clay Loam_re_+0.30,2506.511762857437,41.77519604762395,False
