case_id,group_name,texture,phase_run_id,scenario_name,scenario_note,schedule_name,variant_name,h_init_common,max_iter,rescue_iter,tol,omega_default,max_dh_default,Q_Lh,emitter_radius_cm,fw_threshold,t_final_h,depth_cm,radial_extent_cm,width_cm,volume_cm3,shape_ratio,nonconv_ratio,storage_ratio,rescued_steps,runtime_s,numerical_quality
a3b0cfd3a914577f,calculator,Loam,M3_R1,calculator_Loam_Q1p0_t4p0_re1p5_fw0p4,User-defined wetting-bulb calculator run using frozen numerical configuration and selected physical inputs.,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.4,4.0,27.5,21.5,43.0,30561.413334121506,1.2790697674418603,0.0088383838383838,0.9455341857976208,0,931.9125142097472,Moderate
a650f8c67889e69c,numerical_verification,Loam,M3_R1,verif_grid_base_Loam_1cm_Loam_R50p0_Z50p0_dr1p0_dz1p0_medium_safe_track,"Numerical verification run. Hydraulic parameters and forcing were fixed; only grid, domain size, or time-step schedule was changed.",medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.4,4.0,27.5,21.5,43.0,30561.413334121506,1.2790697674418603,0.0088383838383838,0.9455341857976208,0,939.7897264957428,Moderate
8c6d492cde642940,numerical_verification,Loam,M3_R1,verif_grid_alt_Loam_2cm_Loam_R50p0_Z50p0_dr2p0_dz2p0_medium_safe_track,"Numerical verification run. Hydraulic parameters and forcing were fixed; only grid, domain size, or time-step schedule was changed.",medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.4,4.0,27.0,21.0,42.0,30435.749627977915,1.2857142857142858,0.0,0.9456854309893676,0,171.1971025466919,Moderate
21680fdf92baa39d,numerical_verification,Clay Loam,C5_R1,verif_domain_base_ClayLoam_50cm_Clay_Loam_R50p0_Z50p0_dr1p0_dz1p0_fine_careful_start,"Numerical verification run. Hydraulic parameters and forcing were fixed; only grid, domain size, or time-step schedule was changed.",fine_careful_start,candidate_A,-75.0,80,110,0.0006,0.24,13.0,1.0,1.5,0.4,4.0,35.5,27.5,55.0,65439.374974275386,1.290909090909091,0.0140581068416119,0.9761279637360512,1,1040.3406834602356,High
3e73ef6ab73ba0be,numerical_verification,Clay Loam,C5_R1,verif_domain_alt_ClayLoam_75cm_Clay_Loam_R75p0_Z75p0_dr1p0_dz1p0_fine_careful_start,"Numerical verification run. Hydraulic parameters and forcing were fixed; only grid, domain size, or time-step schedule was changed.",fine_careful_start,candidate_A,-75.0,80,110,0.0006,0.24,13.0,1.0,1.5,0.4,4.0,35.5,27.5,55.0,65439.374974275386,1.290909090909091,0.0140581068416119,0.949077899856517,1,29359.871102809902,Moderate
fcca1d73278e0da1,numerical_verification,Loam,M3_R1,verif_schedule_base_Loam_Loam_R50p0_Z50p0_dr1p0_dz1p0_medium_safe_track,"Numerical verification run. Hydraulic parameters and forcing were fixed; only grid, domain size, or time-step schedule was changed.",medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.4,4.0,27.5,21.5,43.0,30561.413334121506,1.2790697674418603,0.0088383838383838,0.9455341857976208,0,1271.2895274162292,Moderate
b98497c523026167,numerical_verification,Loam,M3_R1,verif_schedule_alt_Loam_Loam_R50p0_Z50p0_dr1p0_dz1p0_medium_guarded_alt,"Numerical verification run. Hydraulic parameters and forcing were fixed; only grid, domain size, or time-step schedule was changed.",medium_guarded_alt,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.4,4.0,27.5,21.5,43.0,30442.03281328509,1.2790697674418603,0.0064102564102564,0.9436860468100768,0,375.6539707183838,Moderate
8e5237c11cde29ad,numerical_verification,Clay Loam,C5_R1,verif_schedule_base_ClayLoam_Clay_Loam_R50p0_Z50p0_dr1p0_dz1p0_fine_careful_start,"Numerical verification run. Hydraulic parameters and forcing were fixed; only grid, domain size, or time-step schedule was changed.",fine_careful_start,candidate_A,-75.0,80,110,0.0006,0.24,13.0,1.0,1.5,0.4,4.0,35.5,27.5,55.0,65439.374974275386,1.290909090909091,0.0140581068416119,0.9761279637360512,1,468.05614733695984,High
c1290594a727f7d2,numerical_verification,Clay Loam,C5_R1,verif_schedule_alt_ClayLoam_Clay_Loam_R50p0_Z50p0_dr1p0_dz1p0_fine_guarded_alt,"Numerical verification run. Hydraulic parameters and forcing were fixed; only grid, domain size, or time-step schedule was changed.",fine_guarded_alt,candidate_A,-75.0,80,110,0.0006,0.24,13.0,1.0,1.5,0.4,4.0,34.5,27.5,55.0,65203.75552525616,1.2545454545454546,0.005906406179009541,0.9717605179975267,1,742.8089592456818,High
