case_id,npz_file,group_name,scenario_name,scenario_note,snapshot_request,texture,phase_run_id,schedule_name,variant_name,Q_Lh,emitter_radius_cm,fw_threshold,t_final_h,depth_cm,radial_extent_cm,width_cm,shape_ratio,nonconv_ratio,storage_ratio,runtime_s,numerical_quality
a6fbbc0dcec15a93,a6fbbc0dcec15a93.npz,qt_response_v3,Loam_qt_q0.5,q × t response matrix for Loam with four discharge levels,"0.5,1.0,2.0,4.0",Loam,M3_R1,medium_safe_track,medium_A,0.5,1.5,0.5,4.0,15.5,19.5,39.0,0.7948717948717948,0.08333333333333333,0.8960256775970638,2168.4030311107635,Unreliable
27e07d52bf78dba9,27e07d52bf78dba9.npz,qt_response_v3,Loam_qt_q1.0,q × t response matrix for Loam with four discharge levels,"0.5,1.0,2.0,4.0",Loam,M3_R1,medium_safe_track,medium_A,1.0,1.5,0.5,4.0,19.5,26.5,53.0,0.7358490566037735,0.11868686868686869,0.9431962987102143,2041.1559579372406,Moderate
3b2e56857792dbc6,3b2e56857792dbc6.npz,qt_response_v3,Loam_qt_q2.0,q × t response matrix for Loam with four discharge levels,"0.5,1.0,2.0,4.0",Loam,M3_R1,medium_safe_track,medium_A,2.0,1.5,0.5,4.0,24.5,33.5,67.0,0.7313432835820896,0.18181818181818182,0.9683495315172114,4242.300103902817,Moderate
9149ecad00f32cf0,9149ecad00f32cf0.npz,qt_response_v3,Loam_qt_q4.0,q × t response matrix for Loam with four discharge levels,"0.5,1.0,2.0,4.0",Loam,M3_R1,medium_safe_track,medium_A,4.0,1.5,0.5,4.0,31.5,42.5,85.0,0.7411764705882353,0.24494949494949494,0.9816700388370938,3385.6765551567078,Moderate
