texture,var_name,var_value,depth_rel_pct,radial_rel_pct,volume_rel_pct,geometry_dev_pct,nonconv_ratio,storage_ratio,runtime_s
Loamy Sand,omega_default,0.22,-12.903225806451612,6.896551724137931,4.4170185125040735,8.072265347697872,0.4947368421052631,0.9957270072231836,1953.4365234375
Loamy Sand,omega_default,0.24,-12.903225806451612,6.896551724137931,3.4101981162715376,7.736658548953694,0.4357894736842105,0.9960879640014196,1763.826382637024
Loamy Sand,omega_default,0.25,-6.451612903225806,6.896551724137931,2.663202338421583,5.33712232192844,0.4252631578947368,0.9962175972537748,1835.9224228858948
Loamy Sand,omega_default,0.28,0.0,6.896551724137931,0.2923026956804089,2.396284806606113,0.3894736842105263,0.9965375853141838,1677.3312969207764
Loamy Sand,omega_default,0.3,0.0,6.896551724137931,0.45469308216952703,2.4504149354358193,0.3578947368421052,0.9965563923682887,1574.3982396125791
Loamy Sand,omega_default,0.32,0.0,0.0,0.0,0.0,0.3221052631578947,0.9966835318038112,1496.70556807518
Loamy Sand,tol,0.001,0.0,0.0,0.0,0.0,0.2852631578947368,0.9964514138817796,1374.0068776607511
Loamy Sand,tol,0.0008,0.0,0.0,0.0,0.0,0.2947368421052631,0.9965552282600588,1414.472750902176
Loamy Sand,tol,0.0006,0.0,0.0,0.0,0.0,0.3221052631578947,0.9966835318038112,1465.9726204872131
Loamy Sand,tol,0.0005,0.0,0.0,0.0,0.0,0.3305263157894736,0.9966681989883924,2460.0744440555573
Loamy Sand,max_dh_default,12.0,0.0,0.0,0.0,0.0,0.3126315789473684,0.9967002781974112,3946.804538488388
Loamy Sand,max_dh_default,13.0,0.0,0.0,0.0,0.0,0.32,0.9967078581593726,3875.4615890979767
Loamy Sand,max_dh_default,14.0,0.0,0.0,0.0,0.0,0.32,0.9967521633799588,3826.157075881958
Loamy Sand,max_dh_default,16.0,0.0,0.0,0.0,0.0,0.3221052631578947,0.9966835318038112,114511.499158144
Loamy Sand,schedule_name,coarse_ultra_transition,0.0,0.0,0.0,0.0,0.3221052631578947,0.9966835318038112,3445.5375924110413
Loamy Sand,schedule_name,coarse_guarded_alt,0.0,0.0,0.0,0.0,0.25,0.9967560203748622,3691.8049347400665
Loam,omega_default,0.22,0.0,0.0,0.0,0.0,0.2143864598025388,0.9413206590464752,1975.832411289215
Loam,omega_default,0.24,0.0,0.0,0.0,0.0,0.1509167842031029,0.9431369268215882,1676.6991093158722
Loam,omega_default,0.25,0.0,0.0,0.0,0.0,0.1325811001410437,0.943901935108743,949.243682861328
Loam,omega_default,0.28,0.0,0.0,0.0,0.0,0.1015514809590973,0.9457430420160482,1556.1426277160645
Loam,omega_default,0.3,0.0,0.0,0.0,0.0,0.080394922425952,0.9467398572824024,1813.0528814792635
Loam,omega_default,0.32,0.0,0.0,0.0,0.0,0.0747531734837799,0.9475792946781336,1107.634881734848
Loam,tol,0.001,-5.405405405405405,0.0,-0.015678896205717843,1.807028100537041,0.1029619181946403,0.93504155376377,1921.435158967972
Loam,tol,0.0008,-5.405405405405405,0.0,-0.015678896205717843,1.807028100537041,0.1100141043723554,0.9394691710080648,2065.1227276325226
Loam,tol,0.0006,0.0,0.0,0.0,0.0,0.1325811001410437,0.943901935108743,1686.0649483203888
Loam,tol,0.0005,0.0,0.0,0.0,0.0,0.1466854724964739,0.946150190943498,878.5223457813263
Loam,max_dh_default,12.0,0.0,0.0,0.0,0.0,0.1368124118476728,0.9438815171730144,842.201975107193
Loam,max_dh_default,13.0,0.0,0.0,0.0,0.0,0.1368124118476728,0.9438815171730144,819.1829335689545
Loam,max_dh_default,14.0,0.0,0.0,0.0,0.0,0.1325811001410437,0.943901935108743,817.2462561130524
Loam,max_dh_default,16.0,0.0,0.0,0.0,0.0,0.1368124118476728,0.9438784301158548,824.8369560241699
Loam,schedule_name,medium_safe_track,0.0,0.0,0.0,0.0,0.1325811001410437,0.943901935108743,827.175140619278
Loam,schedule_name,medium_guarded_alt,-5.405405405405405,0.0,-0.015678896205717843,1.807028100537041,0.0836693548387096,0.9355311564486476,983.3546018600464
Clay Loam,omega_default,0.22,0.0,0.0,-0.36347114947750897,0.12115704982583632,0.528023598820059,0.9545269173249756,3654.792761325836
Clay Loam,omega_default,0.24,0.0,0.0,0.0,0.0,0.3992133726647001,0.9590634724235922,2161.40749502182
Clay Loam,omega_default,0.25,0.0,0.0,0.9200363471149458,0.3066787823716486,0.3510324483775811,0.960312387513502,2169.9107711315155
Clay Loam,omega_default,0.28,0.0,0.0,0.9200363471149458,0.3066787823716486,0.28023598820059,0.9636130423281832,1814.9350514411929
Clay Loam,omega_default,0.3,0.0,0.0,0.9200363471149458,0.3066787823716486,0.2497541789577188,0.965492196728564,1696.8656358718872
Clay Loam,omega_default,0.32,0.0,0.0,0.9200363471149458,0.3066787823716486,0.2094395280235988,0.9666465690427454,1588.5043284893036
Clay Loam,tol,0.001,0.0,0.0,-0.636074511585644,0.21202483719521467,0.2861356932153392,0.9502866161335544,1832.4535508155825
Clay Loam,tol,0.0008,0.0,0.0,-0.062471603816450345,0.02082386793881678,0.3136676499508358,0.9549035034585084,1934.372489213944
Clay Loam,tol,0.0006,0.0,0.0,0.0,0.0,0.3992133726647001,0.9590634724235922,2163.8133862018585
Clay Loam,tol,0.0005,0.0,0.0,0.9200363471149458,0.3066787823716486,0.4680432645034414,0.9606689751391206,2338.334301948548
Clay Loam,max_dh_default,12.0,0.0,0.0,0.0,0.0,0.3992133726647001,0.9590634724235922,2137.3256328105927
Clay Loam,max_dh_default,13.0,0.0,0.0,0.0,0.0,0.3992133726647001,0.9590634724235922,2146.1625089645386
Clay Loam,max_dh_default,14.0,0.0,0.0,0.0,0.0,0.3992133726647001,0.9590634724235922,2150.596972465515
Clay Loam,max_dh_default,16.0,0.0,0.0,0.0,0.0,0.3992133726647001,0.9590634724235922,2231.6093888282776
Clay Loam,schedule_name,fine_careful_start,0.0,0.0,0.0,0.0,0.3992133726647001,0.9590634724235922,2225.638092517853
Clay Loam,schedule_name,fine_guarded_alt,0.0,-3.076923076923077,-2.260336210813274,1.7790864292454505,0.1814159292035398,0.9367249825633408,5192.469939470291
