texture,var_name,scenario_name,runtime_min,runtime_min_clean,runtime_outlier_flag
Clay Loam,n,Clay Loam_n_-0.05,54.35990478595098,54.35990478595098,False
Clay Loam,n,Clay Loam_n_+0.05,29.799165026346838,29.799165026346838,False
Clay Loam,n,Clay Loam_n_+0.10,171.15170909563702,171.15170909563702,False
Clay Loam,n,Clay Loam_n_+0.15,64.06980348428091,64.06980348428091,False
Clay Loam,fw_threshold,Clay Loam_fw_0.40,105.4850724975268,42.128628206253055,True
Clay Loam,fw_threshold,Clay Loam_fw_0.45,43.17937355438868,43.17937355438868,False
Clay Loam,fw_threshold,Clay Loam_fw_0.50,42.128628206253055,42.128628206253055,False
Clay Loam,fw_threshold,Clay Loam_fw_0.55,42.085812362035114,42.085812362035114,False
Clay Loam,fw_threshold,Clay Loam_fw_0.60,41.24609439373016,41.24609439373016,False
Clay Loam,emitter_radius_cm,Clay Loam_re_-0.30,54.439172967274985,54.439172967274985,False
Clay Loam,emitter_radius_cm,Clay Loam_re_-0.20,125.98061697085699,125.98061697085699,False
Clay Loam,emitter_radius_cm,Clay Loam_re_-0.10,126.95068958600362,126.95068958600362,False
Clay Loam,emitter_radius_cm,Clay Loam_re_+0.10,261.9413217902183,104.97797712286314,True
Clay Loam,emitter_radius_cm,Clay Loam_re_+0.20,83.97533727486929,83.97533727486929,False
Clay Loam,emitter_radius_cm,Clay Loam_re_+0.30,41.77519604762395,41.77519604762395,False
