case_id,group_name,texture,phase_run_id,scenario_name,scenario_note,schedule_name,variant_name,h_init_common,max_iter,rescue_iter,tol,omega_default,max_dh_default,Q_Lh,emitter_radius_cm,fw_threshold,t_final_h,depth_cm,radial_extent_cm,width_cm,volume_cm3,shape_ratio,nonconv_ratio,storage_ratio,rescued_steps,runtime_s,numerical_quality,var_name,var_value,x_for_plot,depth_rel_pct,radial_rel_pct,volume_rel_pct
70de302bcadbb2f7,sens_phys,Loamy Sand,C2_R2,Loamy Sand_n_-0.10,Physical sensitivity on n,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,13.5,17.5,35.0,10398.671683382214,0.7714285714285715,0.2684210526315789,0.995111950345842,2,1626.5435619354248,Low,n,-0.1,-10.0,-12.903225806451612,20.689655172413794,7.502435855797338
2fc02c7e5de6376d,sens_phys,Loamy Sand,C2_R2,Loamy Sand_n_-0.05,Physical sensitivity on n,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,15.5,15.5,31.0,10203.892938859648,1.0,0.2831578947368421,0.9964053717752815,4,3633.549589395523,Low,n,-0.05,-5.0,0.0,6.896551724137931,5.488795063332264
497eeba00c619390,sens_phys,Loamy Sand,C2_R2,Loamy Sand_n_+0.05,Physical sensitivity on n,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,18.5,12.5,25.0,9116.901880717582,1.48,0.3431578947368421,0.9972945390090854,10,3781.58136844635,Low,n,0.05,5.0,19.35483870967742,-13.793103448275861,-5.748619681714809
96c33a5338cb9d52,sens_phys,Loamy Sand,C2_R2,Loamy Sand_n_+0.10,Physical sensitivity on n,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,18.5,12.5,25.0,8997.521359881168,1.48,0.331578947368421,0.997469227440116,6,4051.122416257858,Low,n,0.1,10.0,19.35483870967742,-13.793103448275861,-6.982786619032136
79e292e896c08fe9,sens_phys,Loamy Sand,C2_R2,Loamy Sand_n_+0.15,Physical sensitivity on n,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,17.5,13.5,27.0,8922.123136195012,1.2962962962962965,0.3052631578947368,0.9979111479781452,4,36768.05732297897,Low,n,0.15,15.0,12.903225806451612,-6.896551724137931,-7.762260474179918
d4693ee847205afc,sens_phys,Loamy Sand,C2_R2,Loamy Sand_fw_0.40,Physical sensitivity on fw_threshold,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.4,3.0,18.5,13.5,27.0,9789.202708585795,1.3703703703703705,0.3494736842105263,0.9969618243745884,4,3118.0163974761963,Low,fw_threshold,0.4,0.4,19.35483870967742,-6.896551724137931,1.2016888600195006
f779c3ba795025e7,sens_phys,Loamy Sand,C2_R2,Loamy Sand_fw_0.45,Physical sensitivity on fw_threshold,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.45,3.0,18.5,13.5,27.0,9789.202708585795,1.3703703703703705,0.3494736842105263,0.9969618243745884,4,3077.260258436203,Low,fw_threshold,0.45,0.45,19.35483870967742,-6.896551724137931,1.2016888600195006
86a32de3a08dc91e,sens_phys,Loamy Sand,C2_R2,Loamy Sand_fw_0.50,Physical sensitivity on fw_threshold,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.5,3.0,18.5,13.5,27.0,9723.22926286041,1.3703703703703705,0.3494736842105263,0.9969618243745884,4,3117.906710386276,Low,fw_threshold,0.5,0.5,19.35483870967742,-6.896551724137931,0.5196492367652006
0567c52e252b5c80,sens_phys,Loamy Sand,C2_R2,Loamy Sand_fw_0.55,Physical sensitivity on fw_threshold,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.55,3.0,18.5,13.5,27.0,9723.22926286041,1.3703703703703705,0.3494736842105263,0.9969618243745884,4,1693.8840854167938,Low,fw_threshold,0.55,0.55,19.35483870967742,-6.896551724137931,0.5196492367652006
df46b746d194d534,sens_phys,Loamy Sand,C2_R2,Loamy Sand_fw_0.60,Physical sensitivity on fw_threshold,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.0,0.6,3.0,18.5,13.5,27.0,9669.822187749383,1.3703703703703705,0.3494736842105263,0.9969618243745884,4,1674.7820253372192,Low,fw_threshold,0.6,0.6,19.35483870967742,-6.896551724137931,-0.032478077297808584
438107e8297ad7d7,sens_phys,Loamy Sand,C2_R2,Loamy Sand_re_-0.30,Physical sensitivity on emitter_radius_cm,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,0.7,0.5,3.0,18.5,13.5,27.0,9723.22926286041,1.3703703703703705,0.3494736842105263,0.9969618243745884,4,1725.2430872917175,Low,emitter_radius_cm,-0.3,-30.0,19.35483870967742,-6.896551724137931,0.5196492367652006
7e0df684dd8d00a0,sens_phys,Loamy Sand,C2_R2,Loamy Sand_re_-0.20,Physical sensitivity on emitter_radius_cm,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,0.8,0.5,3.0,18.5,13.5,27.0,9723.22926286041,1.3703703703703705,0.3494736842105263,0.9969618243745884,4,1780.2723724842072,Low,emitter_radius_cm,-0.2,-20.0,19.35483870967742,-6.896551724137931,0.5196492367652006
45c1f1ebf1d84a11,sens_phys,Loamy Sand,C2_R2,Loamy Sand_re_-0.10,Physical sensitivity on emitter_radius_cm,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,0.9,0.5,3.0,18.5,13.5,27.0,9723.22926286041,1.3703703703703705,0.3494736842105263,0.9969618243745884,4,2468.388451576233,Low,emitter_radius_cm,-0.1,-10.0,19.35483870967742,-6.896551724137931,0.5196492367652006
c834a2c456b8435d,sens_phys,Loamy Sand,C2_R2,Loamy Sand_re_+0.10,Physical sensitivity on emitter_radius_cm,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.1,0.5,3.0,14.5,15.5,31.0,9544.158481605791,0.935483870967742,0.2810526315789474,0.9970644034743426,3,2911.144989013672,Low,emitter_radius_cm,0.1,10.0,-6.451612903225806,6.896551724137931,-1.3316011692107725
44253dcec0da2380,sens_phys,Loamy Sand,C2_R2,Loamy Sand_re_+0.20,Physical sensitivity on emitter_radius_cm,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.2,0.5,3.0,14.5,15.5,31.0,9544.158481605791,0.935483870967742,0.2831578947368421,0.9970561098805876,3,1794.025886774063,Low,emitter_radius_cm,0.2,20.0,-6.451612903225806,6.896551724137931,-1.3316011692107725
7327ef75b18b75ae,sens_phys,Loamy Sand,C2_R2,Loamy Sand_re_+0.30,Physical sensitivity on emitter_radius_cm,coarse_ultra_transition,coarse_A,-50.0,65,95,0.0006,0.32,16.0,1.0,1.3,0.5,3.0,14.5,15.5,31.0,9544.158481605791,0.935483870967742,0.2810526315789474,0.9970791259873588,2,1874.446094751358,Low,emitter_radius_cm,0.3,30.0,-6.451612903225806,6.896551724137931,-1.3316011692107725
baeed1c8d502741d,sens_phys,Loam,M3_R1,Loam_Ks_-0.30,Physical sensitivity on Ks,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,18.5,23.5,47.0,20602.564622241865,0.7872340425531915,0.1819464033850493,0.958799762521614,0,3443.130642414093,Moderate,Ks,-0.3,-30.0,0.0,0.0,2.8222013170272873
d16ed5b2eb884875,sens_phys,Loam,M3_R1,Loam_Ks_-0.20,Physical sensitivity on Ks,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,18.5,23.5,47.0,20216.14872585032,0.7872340425531915,0.157968970380818,0.9538664819822232,0,2728.098705768585,Moderate,Ks,-0.2,-20.0,0.0,0.0,0.8936970837252999
eab031be94bb38c8,sens_phys,Loam,M3_R1,Loam_Ks_-0.10,Physical sensitivity on Ks,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,18.5,23.5,47.0,20147.033687471343,0.7872340425531915,0.1424541607898448,0.94884892317679,0,2648.327430486679,Moderate,Ks,-0.1,-10.0,0.0,0.0,0.5487613671997433
a39466b9fd390078,sens_phys,Loam,M3_R1,Loam_Ks_+0.10,Physical sensitivity on Ks,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,17.5,23.5,47.0,19861.14875599467,0.7446808510638298,0.1227080394922426,0.9391087025055556,0,2190.768614530564,Moderate,Ks,0.1,10.0,-5.405405405405405,0.0,-0.8780181875196182
db634f614ce626f7,sens_phys,Loam,M3_R1,Loam_Ks_+0.20,Physical sensitivity on Ks,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,17.5,23.5,47.0,19770.04256904057,0.7446808510638298,0.1029619181946403,0.9344135010841724,0,2115.6125662326813,Moderate,Ks,0.2,20.0,-5.405405405405405,0.0,-1.332706177485109
eda188ce4fc14e2b,sens_phys,Loam,M3_R1,Loam_Ks_+0.30,Physical sensitivity on Ks,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,17.5,23.5,47.0,19606.679751053896,0.7446808510638298,0.0916784203102961,0.9298244587068872,0,1881.7694945335388,Low,Ks,0.3,30.0,-5.405405405405405,0.0,-2.1480087801818923
2f7d81e496226a41,sens_phys,Loam,M3_R1,Loam_alpha_-0.30,Physical sensitivity on alpha,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,18.5,24.5,49.0,23451.989159047807,0.7551020408163265,0.0507757404795486,0.8743178168035477,0,1479.3959555625916,Unreliable,alpha,-0.3,-30.0,0.0,4.25531914893617,17.04296017560364
a80a6e31cdf572b2,sens_phys,Loam,M3_R1,Loam_alpha_-0.20,Physical sensitivity on alpha,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,18.5,24.5,49.0,21988.00698247496,0.7551020408163265,0.0719322990126939,0.9056059983981696,0,1247.1405668258667,Low,alpha,-0.2,-20.0,0.0,4.25531914893617,9.7365945437441
a126c7759cc4d819,sens_phys,Loam,M3_R1,Loam_alpha_-0.10,Physical sensitivity on alpha,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,18.5,23.5,47.0,20970.130962711868,0.7872340425531915,0.0902679830747531,0.927841082735076,0,2377.863911151886,Low,alpha,-0.1,-10.0,0.0,0.0,4.656632173095004
be04313bfe748db4,sens_phys,Loam,M3_R1,Loam_alpha_+0.10,Physical sensitivity on alpha,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,17.5,23.5,47.0,19493.582415524663,0.7446808510638298,0.1734837799717912,0.9558540192107188,0,2725.338141679764,Moderate,alpha,0.1,10.0,-5.405405405405405,0.0,-2.712449043587353
ea551f395fa8d23d,sens_phys,Loam,M3_R1,Loam_alpha_+0.20,Physical sensitivity on alpha,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,17.5,22.5,45.0,18541.67984148696,0.7777777777777778,0.2031029619181946,0.9647717547747336,0,1795.1402082443235,Moderate,alpha,0.2,20.0,-5.405405405405405,-4.25531914893617,-7.463154593916593
a157dac7522860ab,sens_phys,Loam,M3_R1,Loam_alpha_+0.30,Physical sensitivity on alpha,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,17.5,22.5,45.0,17988.759534455152,0.7777777777777778,0.2468265162200282,0.971428463095273,0,1436.7528579235077,Moderate,alpha,0.3,30.0,-5.405405405405405,-4.25531914893617,-10.222640326121063
0612712fc74a87d7,sens_phys,Loam,M3_R1,Loam_n_-0.15,Physical sensitivity on n,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,19.5,27.5,55.0,29697.47535438431,0.7090909090909091,0.5585331452750353,0.9463523573309596,0,2074.109491109848,Unreliable,n,-0.15,-15.0,5.405405405405405,17.02127659574468,48.212605832549364
d1551eec3d8f5cdc,sens_phys,Loam,M3_R1,Loam_n_-0.10,Physical sensitivity on n,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,19.5,25.5,51.0,25201.85626709732,0.7647058823529411,0.2708039492242595,0.9468082230122026,0,1501.450531244278,Low,n,-0.1,-10.0,5.405405405405405,8.51063829787234,25.776105362182488
f3ef3b40774d0d1f,sens_phys,Loam,M3_R1,Loam_n_-0.05,Physical sensitivity on n,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,18.5,24.5,49.0,22277.03350660522,0.7551020408163265,0.1988716502115655,0.944730657164352,0,1304.0226156711578,Moderate,n,-0.05,-5.0,0.0,4.25531914893617,11.179052994669162
a2b45e3e8e0722d6,sens_phys,Loam,M3_R1,Loam_n_+0.05,Physical sensitivity on n,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,17.5,22.5,45.0,18485.131173722344,0.7777777777777778,0.1001410437235543,0.9441183163546744,0,1009.6334974765778,Moderate,n,0.05,5.0,-5.405405405405405,-4.25531914893617,-7.745374725619314
573b271cc6d3fc70,sens_phys,Loam,M3_R1,Loam_n_+0.10,Physical sensitivity on n,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,17.5,22.5,45.0,17435.839227423352,0.7777777777777778,0.081805359661495,0.9452294368239044,0,902.6863248348236,Moderate,n,0.1,10.0,-5.405405405405405,-4.25531914893617,-12.982126058325498
75fbefb9c98980e5,sens_phys,Loam,M3_R1,Loam_n_+0.15,Physical sensitivity on n,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,16.5,21.5,43.0,16053.53845984384,0.7674418604651163,0.0648801128349788,0.9470635069453252,0,851.8202114105225,Moderate,n,0.15,15.0,-10.81081081081081,-8.51063829787234,-19.880840388836646
228fc7d70b0fde31,sens_phys,Loam,M3_R1,Loam_fw_0.40,Physical sensitivity on fw_threshold,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.4,3.0,18.5,24.5,49.0,22622.6086985001,0.7551020408163265,0.1325811001410437,0.943901935108743,0,26562.07096457481,Moderate,fw_threshold,0.4,0.4,0.0,4.25531914893617,12.903731577296945
898c1bf9d88b80c3,sens_phys,Loam,M3_R1,Loam_fw_0.45,Physical sensitivity on fw_threshold,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.45,3.0,18.5,23.5,47.0,21362.83004441059,0.7872340425531915,0.1325811001410437,0.943901935108743,0,871.019002199173,Moderate,fw_threshold,0.45,0.45,0.0,0.0,6.616494198808391
cc6967ae9233a67c,sens_phys,Loam,M3_R1,Loam_fw_0.50,Physical sensitivity on fw_threshold,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.5,3.0,18.5,23.5,47.0,20037.0779445957,0.7872340425531915,0.1325811001410437,0.943901935108743,0,824.112254858017,Moderate,fw_threshold,0.5,0.5,0.0,0.0,0.0
c5bb805df1a8b4fa,sens_phys,Loam,M3_R1,Loam_fw_0.55,Physical sensitivity on fw_threshold,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.55,3.0,17.5,22.5,45.0,18463.14002514721,0.7777777777777778,0.1325811001410437,0.943901935108743,0,803.4253296852112,Moderate,fw_threshold,0.55,0.55,-5.405405405405405,-4.25531914893617,-7.8551269990592845
828e60f1d6798c54,sens_phys,Loam,M3_R1,Loam_fw_0.60,Physical sensitivity on fw_threshold,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.5,0.6,3.0,16.5,22.5,45.0,17325.88348454771,0.7333333333333333,0.1325811001410437,0.943901935108743,0,1078.2556810379028,Moderate,fw_threshold,0.6,0.6,-10.81081081081081,-4.25531914893617,-13.53088742552524
0ed380d4c52b3720,sens_phys,Loam,M3_R1,Loam_re_-0.30,Physical sensitivity on emitter_radius_cm,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.0499999999999998,0.5,3.0,18.5,23.5,47.0,20046.50272255647,0.7872340425531915,0.1509167842031029,0.9439757081439902,0,1460.147583246231,Moderate,emitter_radius_cm,-0.3,-30.0,0.0,0.0,0.04703668861711722
07d785ddb9a3c22b,sens_phys,Loam,M3_R1,Loam_re_-0.20,Physical sensitivity on emitter_radius_cm,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.2000000000000002,0.5,3.0,18.5,23.5,47.0,20037.0779445957,0.7872340425531915,0.1410437235543018,0.9439093337062922,0,964.4910089969636,Moderate,emitter_radius_cm,-0.2,-20.0,0.0,0.0,0.0
4830c9dd5b42c444,sens_phys,Loam,M3_R1,Loam_re_-0.10,Physical sensitivity on emitter_radius_cm,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.35,0.5,3.0,18.5,23.5,47.0,20037.0779445957,0.7872340425531915,0.1297602256699576,0.943915606513684,0,744.7146990299225,Moderate,emitter_radius_cm,-0.1,-10.0,0.0,0.0,0.0
8f70df7c0ffab782,sens_phys,Loam,M3_R1,Loam_re_+0.10,Physical sensitivity on emitter_radius_cm,medium_safe_track,medium_A,-60.0,70,95,0.0006,0.25,14.0,1.0,1.65,0.5,3.0,18.5,23.5,47.0,20037.0779445957,0.7872340425531915,0.1339915373765867,0.9439484310392398,0,727.4183588027954,Moderate,emitter_radius_cm,0.1,10.0,0.0,0.0,0.0
